Timestamp,Presiune1_Valva1,Presiune2_Valva1,Presiune1_Valva2,Presiune2_Valva2,Presiune1_Valva3,Presiune2_Valva3,Presiune1_Valva4,Presiune2_Valva4,pre_input,ex_0,Label
1778161375058,2,2367,1434,1029,5,49,12,3,2463,400,5
1778161375118,0,2369,1433,1030,7,49,12,3,2463,400,5
1778161375198,65534,2372,1436,1029,7,48,10,1,2463,400,5
1778161375218,0,2372,1436,1029,4,47,12,3,2463,400,5
1778161375298,65533,2368,1436,1029,7,47,12,3,2463,400,5
1778161375338,0,2372,1436,1029,6,49,10,4,2463,400,5
1778161375418,65534,2373,1436,1028,5,49,8,1,2463,400,5
1778161375458,65534,2373,1434,1030,7,45,12,1,2463,400,5
1778161375519,65534,2375,1434,1029,6,48,12,1,2463,400,5
1778161375558,65534,2375,1434,1029,4,48,10,1,2463,400,5
1778161375618,0,2373,1434,1030,6,48,12,3,2463,400,5
1778161375698,65534,2376,1434,1030,5,48,8,1,2463,400,5
1778161375758,2437,2302,1436,1029,6,48,8,1,2463,400,5
1778161375798,2382,2159,1436,1030,9,47,12,1,2463,400,5
1778161375858,2385,1911,1434,1028,5,48,12,4,2463,400,5
1778161375918,2399,1660,1434,1029,6,49,12,5,2463,400,5
1778161375998,2395,1355,1434,1030,5,48,8,3,2463,400,5
1778161376038,2337,1223,1433,1029,5,48,8,3,2463,400,5
1778161376118,2224,1003,1434,1029,7,48,11,3,2463,400,5
1778161376158,2232,923,1436,1029,6,51,11,4,2463,400,5
1778161376238,2212,817,1434,1029,6,48,10,3,2463,400,5
1778161376298,2177,784,1436,1029,5,48,11,3,2463,400,5
1778161376358,2215,777,1434,1029,7,49,10,3,2463,400,5
1778161376418,2116,788,1434,1029,6,48,12,4,2463,400,5
1778161376478,2109,778,1434,1030,5,51,8,3,2463,400,5
1778161376558,2123,774,1436,1029,6,48,12,4,2463,400,5
1778161376618,2191,760,1434,1029,7,47,10,3,2463,400,5
1778161376678,2197,737,1436,1030,7,47,14,4,2463,400,5
1778161376718,2132,711,1434,1030,6,44,12,5,2463,400,5
1778161376778,2225,493,1434,1029,7,47,10,1,2463,400,5
1778161376818,2281,240,1434,1029,6,49,14,3,2463,400,5
1778161376919,2361,7,1436,1030,6,51,12,3,2463,400,5
1778161376938,2365,2,1434,1029,5,49,8,1,2463,400,5
1778161377018,2371,65535,1433,1030,5,51,10,3,2463,400,5
1778161377058,2377,65532,1434,1030,7,48,8,0,2463,400,5
1778161377118,2382,65531,1434,1030,4,48,8,1,2463,400,5
1778161377178,2386,65531,1434,1029,5,49,12,4,2463,400,5
1778161377258,2390,65534,1436,1030,6,51,11,1,2463,400,5
1778161377318,2391,65534,1434,1029,5,48,10,3,2463,400,5
1778161377378,2391,65531,1434,1028,6,49,11,1,2463,400,5
1778161377418,2390,65534,1433,1029,7,48,12,3,2463,400,5
1778161377478,2393,65532,1436,1028,7,49,10,0,2463,400,5
1778161377538,2390,65531,1434,1029,6,47,8,1,2463,400,5
1778161377618,2394,65532,1436,1029,4,47,8,4,2463,400,5
1778161377658,2394,65530,1434,1030,5,48,12,4,2463,400,5
1778161377698,2394,65534,1434,1030,5,47,10,3,4000,10000,4
1778161377758,74,3897,1434,1031,7,49,8,32,4000,10000,4
1778161377818,32,3765,1434,1030,6,47,10,12,4000,10000,4
1778161377898,27,3462,1434,1028,4,48,8,9,4000,10000,4
1778161377918,29,3663,1433,1029,6,44,12,11,4000,10000,4
1778161377998,24,3587,1434,1029,7,49,8,12,4000,10000,4
1778161378038,10,3434,1436,1029,4,48,7,8,4000,10000,4
1778161378118,0,3756,1434,1029,7,49,12,3,4000,10000,4
1778161378157,65534,3841,1434,1029,6,47,10,1,4000,10000,4
1778161378217,0,3887,1436,1029,5,48,10,4,4000,10000,4
1778161378257,65534,3897,1436,1030,9,48,11,3,4000,10000,4
